Technology,Cost,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Li-ion battery,Low,1633.39,1544,1202.56,1117.92,1033.28,948.64,863.99,779.35,736.96,694.57,652.18,609.79,567.41,556.3,545.2,534.1,523,511.9,500.8,489.7,478.59,467.49,456.39,445.29,434.19,423.09,411.99,400.88,389.78,378.68,367.58,356.48,345.38
Electrolysis,Low,1025,972.5630025,920.1260049,867.6890074,815.2520098,762.8150123,710.3780148,657.9410172,605.5040197,553.0670221,500.6300246,448.1930271,395.7560295,389.6330864,383.5101433,377.3872002,371.2642571,365.141314,359.018371,352.8954279,346.7724848,340.6495417,334.5265986,328.4036555,322.2807124,316.1577693,310.0348262,303.9118831,297.78894,291.6659969,285.5430538,279.4201107,273.2971677
Coal,Low,3603.15,3598.14,3593.14,3588.13,3583.13,3578.13,3573.12,3558.98,3552.07,3542.99,3535.64,3527.36,3515.51,3504.57,3492.45,3479.8,3470.91,3461.01,3446.3,3436.62,3425.64,3411.99,3397.69,3389.34,3376.32,3365.63,3354.77,3345.8,3330.73,3320.05,3309.24,3298.36,3259.09
Natural Gas CC,Low,1044.35,1033.61,1022.87,1012.13,1001.39,990.64,977.03,967.27,961.5,955.16,950.92,947.82,943.5,939.75,935.7,931.16,927.9,925.3,921.69,919.43,916.82,913.5,910,908.09,904.94,902.4,899.83,897.76,894.05,891.52,888.96,886.37,876.16
Nuclear,Low,6124.73,6093.46,6062.19,6030.92,5999.66,5968.39,5937.12,5905.85,5874.59,5839.7,5807.63,5773.98,5734.47,5696.45,5656.53,5615.76,5581.03,5544.67,5500.61,5464.59,5426.49,5384.18,5340.87,5306.9,5265.63,5227.98,5190.08,5155.08,5110.68,5073.05,5035.21,4997.25,4916.46
Natural Gas CT,Low,943.24,938.75,934.26,929.77,925.29,914.65,898.21,887.36,880.81,873.74,869.13,866.02,861.7,858,854.05,849.53,846.27,843.91,840.73,838.77,836.5,833.57,830.49,828.86,826.08,823.88,821.64,819.86,816.58,814.38,812.15,809.9,800.68
Solar PV,Low,1565.88,1375.38,1311.54,1247.7,1183.87,1120.03,1056.19,992.35,928.52,864.68,800.84,737,673.17,664.84,656.51,648.18,639.85,631.52,623.19,614.86,606.53,598.2,589.87,581.54,573.21,564.88,556.55,548.22,539.89,531.56,523.23,514.9,506.57
Wind,Low,1537.71,1491.59,1443.04,1392.03,1338.59,1282.71,1224.38,1163.61,1100.39,1034.74,966.64,896.1,823.12,814.51,805.78,796.95,787.99,778.93,769.75,760.45,751.04,741.52,731.88,722.13,712.27,702.29,692.19,681.98,671.66,661.23,650.68,640.01,629.23
Natural Gas CC-CCS,Low,2665.88,2626.96,2588.04,2549.12,2510.2,2471.28,2414.31,2373.98,2345.71,2316.06,2293.39,2275.12,2253.57,2233.75,2213.27,2191.22,2172.49,2156.47,2138.46,2123.57,2107.88,2090.55,2072.83,2058.74,2041.81,2026.29,2010.67,1996.17,1978.04,1962.53,1946.93,1931.29,1899.1
Li-ion battery,Mid,1633.39,1544,1454.61,1364.5,1274.39,1184.29,1094.18,1004.07,966.71,929.34,891.97,854.6,817.23,807.02,796.8,786.59,776.37,766.16,755.94,745.73,735.51,725.29,715.08,704.86,694.65,684.43,674.22,664,653.79,643.57,633.36,623.14,612.92
Electrolysis,Mid,1025,987.0833333,949.1666667,911.25,873.3333333,835.4166667,797.5,759.5833333,721.6666667,683.75,645.8333333,607.9166667,570,565.75,561.5,557.25,553,548.75,544.5,540.25,536,531.75,527.5,523.25,519,514.75,510.5,506.25,502,497.75,493.5,489.25,485
Coal,Mid,3603.15,3598.14,3593.14,3588.13,3583.13,3578.13,3573.12,3558.98,3552.07,3542.99,3535.64,3527.36,3515.51,3504.57,3492.45,3479.8,3470.91,3461.01,3446.3,3436.62,3425.64,3411.99,3397.69,3389.34,3376.32,3365.63,3354.77,3345.8,3330.73,3320.05,3309.24,3298.36,3259.09
Natural Gas CC,Mid,1044.35,1033.61,1022.87,1012.13,1001.39,990.64,977.03,967.27,961.5,955.16,950.92,947.82,943.5,939.75,935.7,931.16,927.9,925.3,921.69,919.43,916.82,913.5,910,908.09,904.94,902.4,899.83,897.76,894.05,891.52,888.96,886.37,876.16
Nuclear,Mid,6124.73,6093.46,6062.19,6030.92,5999.66,5968.39,5937.12,5905.85,5874.59,5839.7,5807.63,5773.98,5734.47,5696.45,5656.53,5615.76,5581.03,5544.67,5500.61,5464.59,5426.49,5384.18,5340.87,5306.9,5265.63,5227.98,5190.08,5155.08,5110.68,5073.05,5035.21,4997.25,4916.46
Natural Gas CT,Mid,943.24,938.75,934.26,929.77,925.29,914.65,898.21,887.36,880.81,873.74,869.13,866.02,861.7,858,854.05,849.53,846.27,843.91,840.73,838.77,836.5,833.57,830.49,828.86,826.08,823.88,821.64,819.86,816.58,814.38,812.15,809.9,800.68
Solar PV,Mid,1565.88,1375.38,1324.76,1274.15,1223.53,1172.91,1122.3,1071.68,1021.06,970.45,919.83,869.22,818.6,811.33,804.06,796.78,789.51,782.24,774.97,767.7,760.43,753.15,745.88,738.61,731.34,724.07,716.8,709.52,702.25,694.98,687.71,680.44,673.17
Wind,Mid,1537.71,1512.29,1485.99,1458.83,1430.81,1401.91,1372.15,1341.52,1310.03,1277.66,1244.43,1210.34,1175.37,1165.96,1156.51,1147.01,1137.46,1127.87,1118.22,1108.53,1098.8,1089.01,1079.18,1069.31,1059.38,1049.41,1039.39,1029.33,1019.21,1009.05,998.85,988.59,978.29
Natural Gas CC-CCS,Mid,2665.88,2626.96,2588.04,2549.12,2510.2,2471.28,2414.31,2373.98,2345.71,2316.06,2293.39,2275.12,2253.57,2233.75,2213.27,2191.22,2172.49,2156.47,2138.46,2123.57,2107.88,2090.55,2072.83,2058.74,2041.81,2026.29,2010.67,1996.17,1978.04,1962.53,1946.93,1931.29,1899.1
Li-ion battery,High,1633.39,1544,1503.54,1463.08,1422.63,1382.17,1341.71,1301.25,1270.87,1240.48,1210.1,1179.72,1149.33,1134.96,1120.6,1106.23,1091.86,1077.5,1063.13,1048.76,1034.4,1020.03,1005.66,991.3,976.93,962.56,948.2,933.83,919.46,905.1,890.73,876.36,862
Electrolysis,High,1025,1006.386039,987.7720776,969.1581164,950.5441553,931.9301941,913.3162329,894.7022717,876.0883105,857.4743493,838.8603881,820.246427,801.6324658,795.6556196,789.6787735,783.7019273,777.7250811,771.748235,765.7713888,759.7945427,753.8176965,747.8408504,741.8640042,735.8871581,729.9103119,723.9334657,717.9566196,711.9797734,706.0029273,700.0260811,694.049235,688.0723888,682.0955426
Coal,High,943.24,938.75,934.26,929.77,925.29,914.65,898.21,887.36,880.81,873.74,869.13,866.02,861.7,858,854.05,849.53,846.27,843.91,840.73,838.77,836.5,833.57,830.49,828.86,826.08,823.88,821.64,819.86,816.58,814.38,812.15,809.9,800.68
Natural Gas CC,High,3603.15,3598.14,3593.14,3588.13,3583.13,3578.13,3573.12,3558.98,3552.07,3542.99,3535.64,3527.36,3515.51,3504.57,3492.45,3479.8,3470.91,3461.01,3446.3,3436.62,3425.64,3411.99,3397.69,3389.34,3376.32,3365.63,3354.77,3345.8,3330.73,3320.05,3309.24,3298.36,3259.09
Nuclear,High,1044.35,1033.61,1022.87,1012.13,1001.39,990.64,977.03,967.27,961.5,955.16,950.92,947.82,943.5,939.75,935.7,931.16,927.9,925.3,921.69,919.43,916.82,913.5,910,908.09,904.94,902.4,899.83,897.76,894.05,891.52,888.96,886.37,876.16
Natural Gas CT,High,6124.73,6093.46,6062.19,6030.92,5999.66,5968.39,5937.12,5905.85,5874.59,5839.7,5807.63,5773.98,5734.47,5696.45,5656.53,5615.76,5581.03,5544.67,5500.61,5464.59,5426.49,5384.18,5340.87,5306.9,5265.63,5227.98,5190.08,5155.08,5110.68,5073.05,5035.21,4997.25,4916.46
Solar PV,High,1565.88,1375.38,1359.19,1343.01,1326.83,1310.64,1294.46,1278.27,1262.09,1245.91,1229.72,1213.54,1197.36,1178.42,1159.48,1140.54,1121.6,1102.67,1083.73,1064.79,1045.85,1026.92,1007.98,989.04,970.1,951.16,932.23,913.29,894.35,875.41,856.48,837.54,818.6
Wind,High,1537.71,1516.72,1495.57,1474.27,1452.81,1431.19,1409.42,1387.49,1365.4,1343.15,1320.75,1298.19,1275.47,1270.62,1265.76,1260.89,1256.01,1251.11,1246.2,1241.29,1236.36,1231.42,1226.46,1221.5,1216.53,1211.54,1206.54,1201.53,1196.51,1191.48,1186.44,1181.38,1176.32
Natural Gas CC-CCS,High,2665.88,2626.96,2588.04,2549.12,2510.2,2471.28,2414.31,2373.98,2345.71,2316.06,2293.39,2275.12,2253.57,2233.75,2213.27,2191.22,2172.49,2156.47,2138.46,2123.57,2107.88,2090.55,2072.83,2058.74,2041.81,2026.29,2010.67,1996.17,1978.04,1962.53,1946.93,1931.29,1899.1
Net-zero CH4,Mid,1025,987.0833333,949.1666667,911.25,873.3333333,835.4166667,797.5,759.5833333,721.6666667,683.75,645.8333333,607.9166667,570,565.75,561.5,557.25,553,548.75,544.5,540.25,536,531.75,527.5,523.25,519,514.75,510.5,506.25,502,497.75,493.5,489.25,485
Biomethane,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GASIFICATION,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTL,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTL,Mid,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GasFiredWH,Mid,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737
ElecHeatPumpWH,Mid,2089.5,1911,1732.5,1718.325,1704.15,1689.975,1675.8,1661.625,1647.45,1633.275,1619.1,1604.925,1417.5,1403.325,1389.15,1374.975,1360.8,1346.625,1332.45,1318.275,1304.1,1289.925,1155,1144.5,1134,1123.5,1113,1102.5,1092,1081.5,1071,1060.5,1050
ElecHeatPump_SpaceHeat,Mid,7207.2,7064.4,6921.6,6864.9,6808.2,6751.5,6694.8,6638.1,6581.4,6524.7,6468,6411.3,6354.6,6297.9,6241.2,6184.5,6127.8,6071.1,6014.4,5957.7,5901,5844.3,5787.6,5730.48,5673.36,5616.24,5559.12,5502,5444.88,5387.76,5330.64,5273.52,5216.4
GasFurnace_SpaceHeat,Mid,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980
GasRange_Res,Mid,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
ElecInduction_Res,Mid,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GasFurnace_SpaceHeatComm,Mid,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230,5230
ElecHeatPump_SpaceHeatComm,Mid,12096,11403,10710,10558.8,10407.6,10256.4,10105.2,9954,9802.8,9651.6,9500.4,9349.2,9198,9097.2,8996.4,8895.6,8794.8,8694,8593.2,8492.4,8391.6,8290.8,8190,8127,8064,8001,7938,7875,7812,7749,7686,7623,7560
GasFiredWHComm,Mid,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
ElecHeatPumpWHComm,Mid,24087,23651.88,23543.1,23107.98,22672.86,22237.74,21802.62,21367.5,20932.38,20497.26,20062.14,19627.02,19191.9,18927.72,18663.54,18399.36,18135.18,17871,17606.82,17342.64,17078.46,16814.28,16550.1,16324.77,16099.44,15874.11,15648.78,15423.45,15198.12,14972.79,14747.46,14522.13,14296.8
ElecInduction_Comm,Mid,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
GasRange_Comm,Mid,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
LPGHybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPGHybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeatComm,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HybridElecHeatPump_SpaceHeat,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-duration storage,Mid,2321.35,2272.693333,2224.036667,2175.38,2126.723333,2078.056667,2026.53,1978.853333,1935.166667,1890.91,1848.753333,1807.736667,1765.5,1757.5,1749.2,1740.41,1732.9,1726.05,1718.19,1711.68,1704.82,1697.25,1689.5,1683.34,1675.94,1669.15,1662.33,1656.01,1648.05,1641.27,1634.46,1627.62,1613.16
Underground gas storage,Mid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comm SH,$/kbtu/hr,96,90.5,85,83.8,82.6,81.4,80.2,79,77.8,76.6,75.4,74.2,73,72.2,71.4,70.6,69.8,69,68.2,67.4,66.6,65.8,65,64.5,64,63.5,63,62.5,62,61.5,61,60.5,60
Comm WH,$/kbtu/hr,310,304.4,303,297.4,291.8,286.2,280.6,275,269.4,263.8,258.2,252.6,247,243.6,240.2,236.8,233.4,230,226.6,223.2,219.8,216.4,213,210.1,207.2,204.3,201.4,198.5,195.6,192.7,189.8,186.9,184
Res SH,$/ton,1716,1682,1648,1634.5,1621,1607.5,1594,1580.5,1567,1553.5,1540,1526.5,1513,1499.5,1486,1472.5,1459,1445.5,1432,1418.5,1405,1391.5,1378,1364.4,1350.8,1337.2,1323.6,1310,1296.4,1282.8,1269.2,1255.6,1242
Res WH,$/unit,1990,1820,1650,1636.5,1623,1609.5,1596,1582.5,1569,1555.5,1542,1528.5,1350,1336.5,1323,1309.5,1296,1282.5,1269,1255.5,1242,1228.5,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000
Net-zero CH4,Low,1025,972.5630025,920.1260049,867.6890074,815.2520098,762.8150123,710.3780148,657.9410172,605.5040197,553.0670221,500.6300246,448.1930271,395.7560295,389.6330864,383.5101433,377.3872002,371.2642571,365.141314,359.018371,352.8954279,346.7724848,340.6495417,334.5265986,328.4036555,322.2807124,316.1577693,310.0348262,303.9118831,297.78894,291.6659969,285.5430538,279.4201107,273.2971677
Biomethane,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net-zero CH4,High,1025,1006.386039,987.7720776,969.1581164,950.5441553,931.9301941,913.3162329,894.7022717,876.0883105,857.4743493,838.8603881,820.246427,801.6324658,795.6556196,789.6787735,783.7019273,777.7250811,771.748235,765.7713888,759.7945427,753.8176965,747.8408504,741.8640042,735.8871581,729.9103119,723.9334657,717.9566196,711.9797734,706.0029273,700.0260811,694.049235,688.0723888,682.0955426
Biomethane,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
